I, [2019-08-21T08:47:52.007093 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:55.083972 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:47:58.193897 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:01.302756 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:04.411619 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:07.509590 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:10.587311 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:13.685257 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:16.793120 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:19.902976 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:23.011920 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:26.109753 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:29.219643 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:32.328505 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:35.426407 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:38.535247 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:41.634146 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:44.743076 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
I, [2019-08-21T08:48:47.819884 #1116]  INFO -- default-ubuntu-1604: Waiting for SSH service on ec2-34-243-85-22.eu-west-1.compute.amazonaws.com:22, retrying in 3 seconds
